,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
4795,decreasing,22.5,23.9394,0.7140124,0.55329734,0.09259251,True,L2,5.0,1.0,4.0,1.0,False,-1.0
4796,decreasing,22.5,26.849508,1.4770164,0.7163282,0.070626825,False,L2,5.0,1.0,-1.0,-1.0,-1,-1.0
4797,decreasing,22.5,26.850336,1.5667846,0.71929514,0.073811,True,L2,20.0,1.0,1.0,3.1622776601683795,False,-1.0
4798,decreasing,22.5,25.876701,0.7362355,0.6290839,0.09174349,True,L2,20.0,1.0,1.0,0.3162277660168379,True,5.0
4799,decreasing,22.5,26.648294,1.6840471,0.71290183,0.075958,True,L2,20.0,1.0,2.0,10.0,True,4.0
4800,decreasing,22.5,26.226181,1.563302,0.6714523,0.10686401,True,L2,20.0,1.0,2.0,3.1622776601683795,True,2.0
4801,decreasing,22.5,26.872774,1.5511453,0.72309554,0.06971455,True,L2,20.0,1.0,2.0,3.1622776601683795,False,-1.0
4802,decreasing,22.5,26.9443,1.5049431,0.7212761,0.07373144,True,L2,20.0,1.0,4.0,3.1622776601683795,False,-1.0
4803,decreasing,22.5,9.207412,12.384469,0.2190964,0.267724,True,L2,20.0,1.0,4.0,1.0,True,3.0
4804,decreasing,22.5,25.029297,1.5499772,0.61355203,0.09498247,True,L2,20.0,1.0,4.0,1.0,True,5.0
4805,decreasing,22.5,26.828886,1.4602387,0.70618975,0.08791247,True,L2,20.0,1.0,4.0,1.0,False,-1.0
4806,decreasing,22.5,26.876608,1.5907569,0.72769284,0.06517807,True,L2,20.0,1.0,4.0,0.3162277660168379,True,1.0
4807,decreasing,22.5,26.916574,1.5661935,0.72493756,0.07127178,True,L2,20.0,1.0,4.0,0.3162277660168379,True,4.0
4808,decreasing,22.5,27.41028,1.3514444,0.7701069,0.039045427,True,L2,20.0,1.0,4.0,0.3162277660168379,False,-1.0
4809,decreasing,22.5,4.47908,2.8319144,0.026194623,0.0142661715,True,L2,20.0,1.0,5.0,10.0,True,3.0
4810,decreasing,22.5,26.808958,1.3014096,0.69918954,0.088007204,True,L2,20.0,1.0,5.0,10.0,False,-1.0
4811,decreasing,22.5,27.49153,1.097321,0.7439274,0.050471198,True,L2,20.0,1.0,5.0,3.1622776601683795,True,1.0
4812,decreasing,22.5,26.750525,1.5164043,0.70112336,0.09140582,True,L2,50.0,1.0,3.0,3.1622776601683795,True,3.0
4813,decreasing,22.5,24.152641,0.74443287,0.55569386,0.100927286,True,L2,50.0,1.0,4.0,3.1622776601683795,True,2.0
4814,decreasing,22.5,25.84878,1.6647848,0.6494519,0.115265004,True,L2,50.0,1.0,4.0,3.1622776601683795,True,3.0
4815,decreasing,22.5,26.983683,1.358857,0.7134709,0.07927673,True,L2,50.0,1.0,4.0,1.0,True,2.0
4816,decreasing,22.5,26.77343,1.51959,0.7035319,0.07995815,True,L2,50.0,1.0,4.0,1.0,True,4.0
4817,decreasing,22.5,24.686316,0.7743597,0.58318514,0.09998834,True,L2,50.0,1.0,4.0,0.3162277660168379,True,2.0
4818,decreasing,22.5,26.541416,1.6185353,0.70115054,0.086020954,True,L2,50.0,1.0,4.0,0.3162277660168379,True,5.0
4819,decreasing,22.5,26.806576,1.4625148,0.71152264,0.07982562,True,L2,50.0,1.0,4.0,0.3162277660168379,False,-1.0
4820,decreasing,22.5,25.83258,1.5315068,0.6446182,0.10770164,True,L2,50.0,1.0,5.0,10.0,True,2.0
4821,decreasing,22.5,24.485096,2.2419956,0.6999829,0.08395222,True,L2,50.0,1.0,5.0,3.1622776601683795,True,1.0
4822,decreasing,22.5,23.903019,0.80650914,0.566833,0.094363764,True,L2,50.0,1.0,5.0,3.1622776601683795,True,5.0
4823,decreasing,22.5,27.0622,1.3899606,0.7228844,0.061276007,False,L2,50.0,1.0,-1.0,-1.0,-1,-1.0
4824,decreasing,22.5,26.992628,1.6596944,0.73794466,0.05202169,False,W1infty,20.0,1.0,-1.0,-1.0,-1,-1.0
4825,decreasing,22.5,27.12283,1.5184326,0.7277868,0.06034025,False,Linfty,20.0,1.0,-1.0,-1.0,-1,-1.0
4826,decreasing,22.5,-43.433758,17.586731,0.017191188,0.103589736,True,probability,5.0,1.0,1.0,10.0,True,2.0
4827,decreasing,22.5,19.137741,19.687044,0.6156564,0.23226893,True,probability,5.0,1.0,1.0,10.0,True,3.0
