,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6553,decreasing,psnr,20,4,1024,classic,0,1,0,10.0,28.118675231933597,28.13353157043457,28.13128471374512,28.12554931640625
6554,decreasing,psnr,20,4,1024,classic,0,1,0,15.0,24.572221755981445,24.591732025146484,24.59671974182129,24.615501403808597
6555,decreasing,psnr,20,4,1024,classic,0,1,0,20.0,22.093772888183597,22.133264541625977,22.1165714263916,22.1149959564209
6556,decreasing,psnr,20,4,1024,classic,0,1,0,25.0,20.16302490234375,20.17780113220215,20.17548179626465,20.17402648925781
6557,decreasing,psnr,20,4,1024,classic,0,1,0,50.0,14.168495178222656,14.140331268310549,14.14028549194336,14.15188217163086
6558,decreasing,psnr,20,4,1024,classic,0,1,0,75.0,10.660118103027344,10.652179718017578,10.63311767578125,10.623920440673828
6559,decreasing,psnr,20,4,1024,classic,0,1,0,100.0,8.143352508544922,8.137393951416016,8.107070922851562,8.127838134765625
6560,decreasing,psnr,20,4,1024,classic,1,1,0,1.0,48.112213134765625,48.137393951416016,48.12808227539063,48.16608428955078
6561,decreasing,psnr,20,4,1024,classic,1,1,0,2.0,42.10270309448242,42.08687973022461,42.10506439208984,42.10704803466797
6562,decreasing,psnr,20,4,1024,classic,1,1,0,5.0,34.127769470214844,34.16242980957031,34.16351318359375,34.16489791870117
6563,decreasing,psnr,20,4,1024,classic,1,1,0,10.0,28.111141204833984,28.104293823242188,28.1232967376709,28.14270782470703
6564,decreasing,psnr,20,4,1024,classic,1,1,0,15.0,24.63616371154785,24.58209228515625,24.618711471557617,24.601022720336918
6565,decreasing,psnr,20,4,1024,classic,1,1,0,20.0,22.117712020874023,22.12900733947754,22.10528945922852,22.12568473815918
6566,decreasing,psnr,20,4,1024,classic,1,1,0,25.0,20.183868408203125,20.174537658691406,20.16117286682129,20.18069076538086
6567,decreasing,psnr,20,4,1024,classic,1,1,0,50.0,14.115684509277344,14.115131378173828,14.161338806152344,14.157981872558594
6568,decreasing,psnr,20,4,1024,classic,1,1,0,75.0,10.653892517089844,10.657112121582031,10.631961822509766,10.65280532836914
6569,decreasing,psnr,20,4,1024,classic,1,1,0,100.0,8.142539978027344,8.119499206542969,8.157234191894531,8.131160736083984
6570,decreasing,psnr,20,4,1024,noconstraints,0,1,0,1.0,41.773414611816406,38.82833099365234,35.26463317871094,37.74095916748047
6571,decreasing,psnr,20,4,1024,noconstraints,0,1,0,2.0,40.57258605957031,38.08746337890625,34.957637786865234,37.28729248046875
6572,decreasing,psnr,20,4,1024,noconstraints,0,1,0,5.0,36.29830932617188,34.85001754760742,33.19248962402344,34.88774108886719
6573,decreasing,psnr,20,4,1024,noconstraints,0,1,0,10.0,31.32841110229492,30.31285095214844,29.81964111328125,30.905895233154297
6574,decreasing,psnr,20,4,1024,noconstraints,0,1,0,15.0,28.10599708557129,27.33784294128418,27.00617218017578,27.84383583068848
6575,decreasing,psnr,20,4,1024,noconstraints,0,1,0,20.0,25.92908096313477,25.008180618286133,24.607534408569336,25.58544921875
6576,decreasing,psnr,20,4,1024,noconstraints,0,1,0,25.0,23.58955955505371,22.739238739013672,22.731069564819336,23.44382667541504
6577,decreasing,psnr,20,4,1024,noconstraints,0,1,0,50.0,17.69513511657715,16.88239288330078,17.23208236694336,16.54703140258789
6578,decreasing,psnr,20,4,1024,noconstraints,0,1,0,75.0,13.439834594726562,13.87604522705078,12.898067474365234,12.802501678466797
6579,decreasing,psnr,20,4,1024,noconstraints,0,1,0,100.0,11.131481170654297,10.613449096679688,10.94247817993164,10.593677520751951
6580,decreasing,psnr,20,4,1024,noconstraints,1,0,0,1.0,48.1216926574707,48.13237762451172,48.13111877441406,48.164649963378906
6581,decreasing,psnr,20,4,1024,noconstraints,1,0,0,2.0,42.076438903808594,42.095550537109375,42.10575866699219,42.10444259643555
6582,decreasing,psnr,20,4,1024,noconstraints,1,0,0,5.0,34.13853073120117,34.17423629760742,34.14373779296875,34.14533996582031
6583,decreasing,psnr,20,4,1024,noconstraints,1,0,0,10.0,28.099401473999023,28.141490936279297,28.128292083740234,28.145809173583984
6584,decreasing,psnr,20,4,1024,noconstraints,1,0,0,15.0,24.601110458374023,24.5998649597168,24.621065139770508,24.625349044799805
